,,,,,Area,,,,,Density,,,,,Census Population,,,,,Estimated Population,,,,,% Change,,,,,Population 25+,,,,,College Grads,,,,,% College Grads,,,,,Foreign Born,,,,,% Foreign Born,,,,,African American,,,,,% African American,,,,,Asian,,,,,% Asian,,,,,Hispanic,,,,,% Hispanic,,,,,# Age 0-5,,,,,% Age 0-5,,,,,Age 65+,,,,,% Age 65+,,,,,TANF Children,,,,,TANF %,,,,,SNAP Beneficiaries,,,,,% SNAP Beneficiaries,,,,,Violent Crimes,,,,,Non-Violent Crimes,,,,,Workforce,,,,,Unemployed,,,,,% Unemployed,,,,,Median Rent ($),,,,,Average Residential Property Value ($),,,,,Taxable Property Value ($),,,,,Income Per Taxpayer ($),,,,,No.of Taxpayers and Dependents,,,,,Municipal Budget per Capita ($),,,,,Municipal Budget ($),,,,,Property Tax as % Income,,,,,County Government Tax Rate (%),,,,,Municipal Tax Rate (%),,,,,School Tax Rate (%),,,,,Registered Voters,,,,,Registered Voters as % of Population,,,,,% Democrats,,,,,% Republicans,,,,,Voter Turnout (%),,,,,Governor DEM,,,,,Governor REP,,,,,State Senate DEM,,,,,State Senate REP,,,,,General Assembly DEM 1,,,,,General Assembly DEM 2,,,,,General Assembly REP 1,,,,,General Assembly REP 2,,,,,President DEM,,,,,President REP,,,,,US Senate DEM,,,,,US Senate REP,,,,,Congress DEM,,,,,Congress REP,,,,
Atlantic,Folsom,110,2,2,8.2,8.2,8.2,8.26,8.26,221,219,216,215,NULL,1885,1885,1885,1811,1811,1815,1792,1775,1776,NULL,-3.71,-4.93,-5.84,-1.93,NULL,1277,1259,1192,NULL,NULL,260,262,270,NULL,NULL,20.36,20.81,22.65,NULL,NULL,41,48,41,NULL,NULL,2.27,0.13,2.42,NULL,NULL,79,79,79,47,47,4.19,4.19,4.19,2.6,2.6,16,16,16,6,6,0.85,0.85,0.85,0.33,0.33,127,127,127,174,174,6.74,6.74,6.74,9.61,9.61,87,87,87,NULL,NULL,4.62,4.62,4.62,NULL,NULL,210,210,210,NULL,NULL,11.14,11.14,11.14,NULL,NULL,4,7,6,1,1,0.22,0.39,0.33,0.06,0.06,39,31,35,24,26,2.14,1.71,1.95,1.35,1.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,793,786,796,754,NULL,55,51,41,100,NULL,6.94,6.49,5.15,13.26,NULL,1306,1125,1256,NULL,NULL,182675,194241,198872,206774,NULL,163342765,169700078,174926903,181796456,NULL,30906.01,NULL,NULL,NULL,NULL,1628,NULL,NULL,NULL,NULL,785,926,778,881,NULL,1424435,1659580,1380851,1565410,0,4.85,NULL,NULL,NULL,NULL,0.59,0.55,0.53,0.52,NULL,0.41,0.39,0.38,0.39,NULL,1.14,1.1,1.09,1.1,NULL,1255,1294,1344,1440,NULL,69.15,72.21,75.72,81.08,NULL,21.53,21.33,33.53,22.94,NULL,38.04,42.81,66.47,43.18,NULL,38.33,53.09,27.6,75.83,NULL,189,NULL,NULL,NULL,NULL,261,NULL,NULL,NULL,NULL,162,NULL,NULL,NULL,NULL,288,NULL,NULL,NULL,NULL,174,NULL,119,NULL,NULL,176,NULL,117,NULL,NULL,245,NULL,239,NULL,NULL,258,NULL,237,NULL,NULL,NULL,NULL,NULL,380,NULL,NULL,NULL,NULL,672,NULL,NULL,240,NULL,367,NULL,NULL,417,NULL,649,NULL,NULL,265,NULL,364,NULL,NULL,393,NULL,661,NULL
Atlantic,Galloway,111,9,2,89.07,89.07,89.07,88.67,88.67,410,404,400,400,NULL,37349,37349,37349,37813,37813,36563,35967,35618,35487,NULL,-2.1,-3.7,-4.63,-6.15,NULL,24191,24566,24663,NULL,NULL,7070,7434,7648,NULL,NULL,29.23,30.26,31.01,NULL,NULL,5256,5090,4803,NULL,NULL,14.19,19.41,13.31,NULL,NULL,4271,4271,4271,4366,4366,11.44,11.44,11.44,11.55,11.55,3744,3744,3744,3825,3825,10.02,10.02,10.02,10.12,10.12,3752,3752,3752,5005,5005,10.05,10.05,10.05,13.24,13.24,1844,1844,1844,NULL,NULL,4.94,4.94,4.94,NULL,NULL,5124,5124,5124,NULL,NULL,13.72,13.72,13.72,NULL,NULL,75,67,43,44,31,0.2,0.18,0.12,0.12,0.09,2629,2456,2129,1958,2606,7.15,6.72,5.92,5.5,7.34,73,73,9,NULL,NULL,665,399,276,NULL,NULL,17018,16714,16989,16841,NULL,1075,852,746,2778,NULL,6.32,5.1,4.39,16.5,NULL,1178,1228,1240,NULL,NULL,170130,168157,175641,179480,NULL,2751969555,2726827530,2865702106,2938401112,NULL,28123.44,NULL,NULL,NULL,NULL,29594,NULL,NULL,NULL,NULL,742,772,783,798,NULL,27117287,27765353,27885688,28322711,0,7.64,NULL,NULL,NULL,NULL,0.56,0.56,0.52,0.52,NULL,0.63,0.61,0.58,0.57,NULL,1.83,1.87,1.78,1.78,NULL,24681,25442,26423,28180,NULL,67.5,70.74,74.18,79.41,NULL,30.7,31.26,54.95,33.25,NULL,25.37,25.59,45.05,27.26,NULL,37.95,53.3,32.97,72.8,NULL,4866,NULL,NULL,NULL,NULL,4094,NULL,NULL,NULL,NULL,4447,NULL,NULL,NULL,NULL,4386,NULL,NULL,NULL,NULL,4459,NULL,3624,NULL,NULL,4300,NULL,3453,NULL,NULL,4222,NULL,4589,NULL,NULL,4196,NULL,4629,NULL,NULL,NULL,NULL,NULL,10143,NULL,NULL,NULL,NULL,9665,NULL,NULL,6171,NULL,9892,NULL,NULL,6635,NULL,9308,NULL,NULL,7280,NULL,9861,NULL,NULL,5723,NULL,9538,NULL
Atlantic,Hamilton,112,2,2,111.13,111.13,111.13,110.9,110.9,238,232,232,233,NULL,26503,26503,26503,27484,27484,26408,25768,25746,25796,NULL,-0.36,-2.77,-2.86,-6.14,NULL,18281,18047,17761,NULL,NULL,4982,5310,6014,NULL,NULL,27.25,29.42,33.86,NULL,NULL,2979,3278,3689,NULL,NULL,11.17,22.95,14.2,NULL,NULL,4916,4916,4916,4890,4890,18.55,18.55,18.55,17.79,17.79,1435,1435,1435,1659,1659,5.41,5.41,5.41,6.04,6.04,3390,3390,3390,4060,4060,12.79,12.79,12.79,14.77,14.77,1605,1605,1605,NULL,NULL,6.06,6.06,6.06,NULL,NULL,2788,2788,2788,NULL,NULL,10.52,10.52,10.52,NULL,NULL,99,96,80,71,80,0.37,0.36,0.31,0.28,0.31,3067,2795,2618,2382,3257,11.57,10.58,10.16,9.25,12.63,37,57,26,29,NULL,880,857,451,468,NULL,12489,12318,12431,12358,NULL,819,686,616,2038,NULL,6.56,5.57,4.96,16.49,NULL,1396,1443,1439,NULL,NULL,164234,177472,177394,172393,NULL,2139126161,2309303531,2255319800,2186537610,NULL,28432.06,NULL,NULL,NULL,NULL,22704,NULL,NULL,NULL,NULL,1000,1056,1092,1089,NULL,26415397,27199266,28114010,28085269,0,6.56,NULL,NULL,NULL,NULL,0.56,0.52,0.54,0.56,NULL,0.84,0.78,0.8,0.83,NULL,1.59,1.52,1.59,1.65,NULL,17836,18323,19257,21017,NULL,67.54,71.11,74.8,81.47,NULL,30.99,31.59,56.61,34.22,NULL,24.48,24.59,43.39,25.79,NULL,36.31,52.56,28.54,69.92,NULL,3506,NULL,NULL,NULL,NULL,2659,NULL,NULL,NULL,NULL,3014,NULL,NULL,NULL,NULL,3235,NULL,NULL,NULL,NULL,3363,NULL,2647,NULL,NULL,3250,NULL,2517,NULL,NULL,2689,NULL,2772,NULL,NULL,2630,NULL,2755,NULL,NULL,NULL,NULL,NULL,7847,NULL,NULL,NULL,NULL,6567,NULL,NULL,4579,NULL,7701,NULL,NULL,4497,NULL,6287,NULL,NULL,5417,NULL,7494,NULL,NULL,3814,NULL,6630,NULL
Atlantic,Hammonton,113,8,2,40.89,40.89,40.89,40.75,40.75,351,344,341,341,NULL,14791,14791,14791,14711,14711,14369,14085,13934,13902,NULL,-2.85,-4.77,-5.79,-5.5,NULL,10049,9833,9816,NULL,NULL,2429,2473,2672,NULL,NULL,24.17,25.15,27.22,NULL,NULL,1655,1500,1632,NULL,NULL,11.37,21.97,11.54,NULL,NULL,444,444,444,397,397,3,3,3,2.7,2.7,203,203,203,157,157,1.37,1.37,1.37,1.07,1.07,3096,3096,3096,3517,3517,20.93,20.93,20.93,23.91,23.91,930,930,930,NULL,NULL,6.29,6.29,6.29,NULL,NULL,2366,2366,2366,NULL,NULL,16,16,16,NULL,NULL,63,55,35,45,40,0.44,0.38,0.25,0.32,0.29,1512,1384,1249,1079,1356,10.48,9.63,8.87,7.74,9.75,17,9,15,23,NULL,177,149,64,189,NULL,6763,6688,6756,6290,NULL,442,392,332,734,NULL,6.54,5.86,4.91,11.67,NULL,1177,1182,1204,NULL,NULL,213477,224675,228040,233451,NULL,1364113745,1432751681,1452931835,1486889130,NULL,30299.32,NULL,NULL,NULL,NULL,13327,NULL,NULL,NULL,NULL,911,976,1016,1022,NULL,13095577,13744879,14156208,14214464,0,6.2,NULL,NULL,NULL,NULL,0.56,0.53,0.54,0.53,NULL,0.68,0.66,0.66,0.65,NULL,1.42,1.37,1.35,1.33,NULL,9150,9241,9473,10083,NULL,63.68,65.61,67.98,72.53,NULL,23.7,23.77,42.42,24.49,NULL,31.22,31.65,57.58,33.72,NULL,49.45,58.92,39.29,76.66,NULL,1726,NULL,NULL,NULL,NULL,2425,NULL,NULL,NULL,NULL,1404,NULL,NULL,NULL,NULL,2504,NULL,NULL,NULL,NULL,1410,NULL,1046,NULL,NULL,1603,NULL,1029,NULL,NULL,2296,NULL,2107,NULL,NULL,2217,NULL,2096,NULL,NULL,NULL,NULL,NULL,2957,NULL,NULL,NULL,NULL,4560,NULL,NULL,1755,NULL,2858,NULL,NULL,3273,NULL,4297,NULL,NULL,2176,NULL,2816,NULL,NULL,2852,NULL,4438,NULL
Atlantic,Linwood,114,2,2,3.87,3.87,3.87,3.81,3.81,1771,1742,1720,1741,NULL,7092,7092,7092,6971,6971,6855,6740,6658,6635,NULL,-3.34,-4.96,-6.12,-4.82,NULL,5008,4858,4826,NULL,NULL,2330,2420,2479,NULL,NULL,46.53,49.81,51.37,NULL,NULL,468,463,602,NULL,NULL,6.73,55.92,8.93,NULL,NULL,69,69,69,87,87,0.97,0.97,0.97,1.25,1.25,269,269,269,341,341,3.79,3.79,3.79,4.89,4.89,210,210,210,362,362,2.96,2.96,2.96,5.19,5.19,323,323,323,NULL,NULL,4.55,4.55,4.55,NULL,NULL,1285,1285,1285,NULL,NULL,18.12,18.12,18.12,NULL,NULL,3,NULL,5,NULL,5,0.04,NULL,0.07,NULL,0.08,135,138,132,92,130,1.96,2.01,1.96,1.38,1.96,1,4,1,1,NULL,100,53,76,25,NULL,3150,3112,3165,3003,NULL,137,114,97,354,NULL,4.35,3.66,3.06,11.79,NULL,1544,1566,1583,NULL,NULL,285514,282046,289356,298564,NULL,905415254,896277180,917423291,944206127,NULL,57021.92,NULL,NULL,NULL,NULL,6540,NULL,NULL,NULL,NULL,1741,1839,1870,1972,NULL,11932575,12393665,12450876,13082625,0,6.84,NULL,NULL,NULL,NULL,0.52,0.51,0.48,0.48,NULL,0.95,0.97,0.95,0.92,NULL,2.03,2.09,2.09,2.08,NULL,5494,5567,5673,6042,NULL,80.15,82.6,85.21,91.06,NULL,23.91,24.36,40.08,26.86,NULL,37.34,36.84,59.92,37.57,NULL,46.71,61.54,37.63,77.74,NULL,1164,NULL,NULL,NULL,NULL,1265,NULL,NULL,NULL,NULL,860,NULL,NULL,NULL,NULL,1624,NULL,NULL,NULL,NULL,1235,NULL,967,NULL,NULL,1043,NULL,816,NULL,NULL,1221,NULL,1216,NULL,NULL,1285,NULL,1187,NULL,NULL,NULL,NULL,NULL,2179,NULL,NULL,NULL,NULL,2366,NULL,NULL,1296,NULL,2084,NULL,NULL,1981,NULL,2369,NULL,NULL,1712,NULL,2021,NULL,NULL,1613,NULL,2517,NULL
Atlantic,Longport,115,2,2,0.39,0.39,0.39,0.4,0.4,2246,2200,2182,2113,NULL,895,895,895,893,893,876,858,851,845,NULL,-2.12,-4.13,-4.92,-5.38,NULL,816,720,733,NULL,NULL,419,404,417,NULL,NULL,51.35,56.11,56.89,NULL,NULL,35,24,20,NULL,NULL,3.65,0.39,2.3,NULL,NULL,3,3,3,5,5,0.34,0.34,0.34,0.56,0.56,4,4,4,3,3,0.45,0.45,0.45,0.34,0.34,10,10,10,13,13,1.12,1.12,1.12,1.46,1.46,12,12,12,NULL,NULL,1.34,1.34,1.34,NULL,NULL,337,337,337,NULL,NULL,37.65,37.65,37.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,6,6,7,13,2.41,0.68,0.7,0.82,1.54,2,0,0,0,NULL,13,5,3,8,NULL,343,343,346,322,NULL,14,13,9,30,NULL,4.08,3.79,2.6,9.32,NULL,1861,1725,1773,NULL,NULL,1170774,1190935,1204396,1184672,NULL,1932146906,1969794054,2001192623,1958482287,NULL,90265.83,NULL,NULL,NULL,NULL,598,NULL,NULL,NULL,NULL,9101,9155,10174,10499,NULL,7972863,7854958,8657729,8871932,0,8.58,NULL,NULL,NULL,NULL,0.54,0.55,0.5,0.51,NULL,0.31,0.31,0.3,0.31,NULL,0.05,0.06,0.07,0.08,NULL,738,763,769,881,NULL,84.25,88.93,90.36,104.26,NULL,21.68,22.02,33.58,26.64,NULL,45.53,46.92,66.42,44.87,NULL,47.02,58.98,43.17,74.23,NULL,107,NULL,NULL,NULL,NULL,225,NULL,NULL,NULL,NULL,89,NULL,NULL,NULL,NULL,238,NULL,NULL,NULL,NULL,130,NULL,118,NULL,NULL,101,NULL,108,NULL,NULL,203,NULL,215,NULL,NULL,208,NULL,205,NULL,NULL,NULL,NULL,NULL,263,NULL,NULL,NULL,NULL,371,NULL,NULL,128,NULL,244,NULL,NULL,303,NULL,373,NULL,NULL,172,NULL,244,NULL,NULL,268,NULL,279,NULL
Atlantic,Margate,116,2,2,1.42,1.42,1.42,1.42,1.42,4284,4196,4130,4085,NULL,6354,6354,6354,5317,5317,6083,5959,5865,5801,NULL,-4.27,-6.22,-7.7,9.1,NULL,5308,5176,4856,NULL,NULL,2598,2556,2543,NULL,NULL,48.94,49.38,52.37,NULL,NULL,403,404,273,NULL,NULL,6.5,6.75,4.55,NULL,NULL,45,45,45,11,11,0.71,0.71,0.71,0.21,0.21,62,62,62,53,53,0.98,0.98,0.98,1,1,175,175,175,183,183,2.75,2.75,2.75,3.44,3.44,191,191,191,NULL,NULL,3.01,3.01,3.01,NULL,NULL,2015,2015,2015,NULL,NULL,31.71,31.71,31.71,NULL,NULL,7,6,2,5,1,0.11,0.1,0.03,0.09,0.02,237,207,173,156,195,3.86,3.4,2.9,2.66,3.36,4,9,1,5,NULL,133,135,38,129,NULL,2633,2600,2615,2453,NULL,124,115,81,272,NULL,4.71,4.42,3.1,11.09,NULL,1166,1279,1315,NULL,NULL,581439,592667,612598,625946,NULL,4022942544,4102542867,4249142841,4348610537,NULL,61252.23,NULL,NULL,NULL,NULL,4469,NULL,NULL,NULL,NULL,5611,5215,5341,5565,NULL,34129693,31076542,31327843,32279930,0,8.59,NULL,NULL,NULL,NULL,0.52,0.52,0.49,0.49,NULL,0.56,0.55,0.54,0.53,NULL,0.3,0.29,0.28,0.28,NULL,4842,4920,5009,5325,NULL,79.6,82.56,85.4,91.79,NULL,26.35,26.97,41.6,29.62,NULL,39.56,38.96,58.4,38.18,NULL,46.06,59.7,35.9,73.37,NULL,1109,NULL,NULL,NULL,NULL,1019,NULL,NULL,NULL,NULL,802,NULL,NULL,NULL,NULL,1370,NULL,NULL,NULL,NULL,1089,NULL,812,NULL,NULL,948,NULL,758,NULL,NULL,1046,NULL,959,NULL,NULL,1042,NULL,975,NULL,NULL,NULL,NULL,NULL,1865,NULL,NULL,NULL,NULL,1945,NULL,NULL,1249,NULL,1834,NULL,NULL,1576,NULL,1907,NULL,NULL,1521,NULL,1762,NULL,NULL,1333,NULL,2004,NULL
Atlantic,Mullica,117,2,2,56.42,56.42,56.42,56.38,56.38,107,105,104,104,NULL,6147,6147,6147,5816,5816,6022,5924,5856,5838,NULL,-2.03,-3.63,-4.73,0.38,NULL,4397,4158,4152,NULL,NULL,957,949,942,NULL,NULL,21.76,22.82,22.69,NULL,NULL,331,286,284,NULL,NULL,5.44,3.43,4.79,NULL,NULL,349,349,349,224,224,5.68,5.68,5.68,3.85,3.85,42,42,42,38,38,0.68,0.68,0.68,0.65,0.65,1046,1046,1046,1005,1005,17.02,17.02,17.02,17.28,17.28,335,335,335,NULL,NULL,5.45,5.45,5.45,NULL,NULL,818,818,818,NULL,NULL,13.31,13.31,13.31,NULL,NULL,9,10,1,4,2,0.15,0.17,0.02,0.07,0.03,131,117,109,88,99,2.17,1.94,1.84,1.5,1.7,3,6,1,7,NULL,98,71,32,100,NULL,2356,2319,2344,2253,NULL,206,176,149,356,NULL,8.74,7.59,6.36,15.8,NULL,1252,1526,1288,NULL,NULL,181604,188202,191823,194083,NULL,455988752,472498869,475675746,481414601,NULL,30021.78,NULL,NULL,NULL,NULL,5177,NULL,NULL,NULL,NULL,920,981,1016,1051,NULL,5538522,5813070,5949883,6136751,0,6.92,NULL,NULL,NULL,NULL,0.59,0.54,0.53,0.53,NULL,0.8,0.79,0.8,0.83,NULL,1.62,1.58,1.67,1.66,NULL,4370,4416,4478,4772,NULL,72.57,74.54,76.47,81.74,NULL,24.39,24.48,39.86,23.88,NULL,33.14,33.49,60.14,37.46,NULL,41.4,54.87,35.15,73.37,NULL,785,NULL,NULL,NULL,NULL,932,NULL,NULL,NULL,NULL,675,NULL,NULL,NULL,NULL,1043,NULL,NULL,NULL,NULL,787,NULL,591,NULL,NULL,751,NULL,567,NULL,NULL,876,NULL,928,NULL,NULL,874,NULL,919,NULL,NULL,NULL,NULL,NULL,1306,NULL,NULL,NULL,NULL,2085,NULL,NULL,866,NULL,1262,NULL,NULL,1440,NULL,2014,NULL,NULL,1067,NULL,1272,NULL,NULL,1270,NULL,2050,NULL
Atlantic,Northfield,118,2,2,3.4,3.4,3.4,3.58,3.58,2459,2415,2362,2248,NULL,8624,8624,8624,8434,8434,8360,8212,8031,8047,NULL,-3.06,-4.78,-6.88,-4.59,NULL,5816,5770,5916,NULL,NULL,1995,2127,2165,NULL,NULL,34.3,36.86,36.6,NULL,NULL,1133,968,1167,NULL,NULL,13.36,4.75,14.31,NULL,NULL,279,279,279,197,197,3.24,3.24,3.24,2.34,2.34,388,388,388,465,465,4.5,4.5,4.5,5.51,5.51,690,690,690,974,974,8,8,8,11.55,11.55,417,417,417,NULL,NULL,4.84,4.84,4.84,NULL,NULL,1385,1385,1385,NULL,NULL,16.06,16.06,16.06,NULL,NULL,12,8,3,6,12,0.14,0.1,0.04,0.07,0.15,414,397,361,286,416,4.92,4.75,4.4,3.56,5.17,0,8,1,0,NULL,81,78,50,73,NULL,3851,3796,3849,3769,NULL,227,193,165,619,NULL,5.89,5.08,4.29,16.42,NULL,1645,1703,1720,NULL,NULL,223906,229313,222533,215189,NULL,895677898,916042691,889886441,860375084,NULL,36651.4,NULL,NULL,NULL,NULL,7683,NULL,NULL,NULL,NULL,1626,1630,1626,1653,NULL,13592223,13387641,13055623,13304442,0,7.62,NULL,NULL,NULL,NULL,0.53,0.49,0.51,0.51,NULL,0.94,0.94,0.96,0.98,NULL,1.78,1.79,1.87,1.99,NULL,6122,6246,6301,6744,NULL,73.23,76.06,78.46,83.81,NULL,27.08,27.36,46.01,29.61,NULL,33.3,33.37,53.99,32.87,NULL,45.67,58.9,40.74,78.43,NULL,1430,NULL,NULL,NULL,NULL,1161,NULL,NULL,NULL,NULL,1109,NULL,NULL,NULL,NULL,1586,NULL,NULL,NULL,NULL,1667,NULL,1369,NULL,NULL,1318,NULL,1188,NULL,NULL,1082,NULL,1246,NULL,NULL,1138,NULL,1191,NULL,NULL,NULL,NULL,NULL,2530,NULL,NULL,NULL,NULL,2600,NULL,NULL,1524,NULL,2452,NULL,NULL,1956,NULL,2511,NULL,NULL,1936,NULL,2375,NULL,NULL,1593,NULL,2688,NULL
Atlantic,Pleasantville,119,2,2,5.69,5.69,5.69,5.72,5.72,3644,3581,3541,3507,NULL,20249,20249,20249,20629,20629,20732,20376,20149,20060,NULL,2.39,0.63,-0.49,-2.76,NULL,13379,13045,13205,NULL,NULL,1648,1626,1746,NULL,NULL,12.32,12.46,13.22,NULL,NULL,4914,5098,5924,NULL,NULL,23.89,432.77,29.18,NULL,NULL,9303,9303,9303,7186,7186,45.94,45.94,45.94,34.83,34.83,490,490,490,433,433,2.42,2.42,2.42,2.1,2.1,8314,8314,8314,10316,10316,41.06,41.06,41.06,50.01,50.01,1691,1691,1691,NULL,NULL,8.35,8.35,8.35,NULL,NULL,2159,2159,2159,NULL,NULL,10.66,10.66,10.66,NULL,NULL,201,157,139,107,119,0.98,0.76,0.68,0.53,0.59,5366,5065,4459,3878,4801,26.19,24.43,21.88,19.25,23.93,116,92,12,27,NULL,312,306,141,266,NULL,8717,8653,8749,9170,NULL,806,648,559,2090,NULL,9.25,7.49,6.39,22.79,NULL,1190,1172,1159,NULL,NULL,86899,89682,93655,98363,NULL,724081826,740021000,763467926,777116702,NULL,14261.76,NULL,NULL,NULL,NULL,16719,NULL,NULL,NULL,NULL,1422,1481,1513,1581,NULL,29479448,30180073,30486660,31723257,0,8.93,NULL,NULL,NULL,NULL,0.53,0.52,0.51,0.53,NULL,3.01,3.05,3.03,3.06,NULL,1.29,1.33,1.28,1.31,NULL,10803,11287,11703,12471,NULL,52.11,55.39,58.08,62.17,NULL,50.18,52.08,89.6,54.64,NULL,5.64,5.64,10.4,6.97,NULL,27.41,41.61,22.8,58.53,NULL,2590,NULL,NULL,NULL,NULL,213,NULL,NULL,NULL,NULL,2166,NULL,NULL,NULL,NULL,518,NULL,NULL,NULL,NULL,2206,NULL,2213,NULL,NULL,2149,NULL,2072,NULL,NULL,219,NULL,278,NULL,NULL,216,NULL,263,NULL,NULL,NULL,NULL,NULL,5872,NULL,NULL,NULL,NULL,1024,NULL,NULL,3736,NULL,5365,NULL,NULL,533,NULL,852,NULL,NULL,3889,NULL,5172,NULL,NULL,432,NULL,1320,NULL
Atlantic,Port Republic,120,9,2,7.48,7.48,7.48,7.46,7.46,144,141,141,141,NULL,1115,1115,1115,1101,1101,1080,1058,1052,1051,NULL,-3.14,-5.11,-5.65,-4.54,NULL,805,918,874,NULL,NULL,309,406,369,NULL,NULL,38.39,44.23,42.22,NULL,NULL,52,51,53,NULL,NULL,4.92,0.49,4.73,NULL,NULL,7,7,7,7,7,0.63,0.63,0.63,0.64,0.64,10,10,10,12,12,0.9,0.9,0.9,1.09,1.09,33,33,33,37,37,2.96,2.96,2.96,3.36,3.36,59,59,59,NULL,NULL,5.29,5.29,5.29,NULL,NULL,141,141,141,NULL,NULL,12.65,12.65,12.65,NULL,NULL,NULL,NULL,NULL,2,1,NULL,NULL,NULL,0.19,0.1,37,48,24,21,25,3.41,4.44,2.27,2,2.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,541,530,536,511,NULL,38,30,26,67,NULL,7.02,5.66,4.85,13.11,NULL,1417,1550,1600,NULL,NULL,243163,240894,260958,269119,NULL,121237223,121070850,130984123,134370288,NULL,34316.95,NULL,NULL,NULL,NULL,1055,NULL,NULL,NULL,NULL,1151,1129,1172,1154,NULL,1243516,1194862,1232494,1212693,0,7.06,NULL,NULL,NULL,NULL,0.55,0.56,0.5,0.52,NULL,0.5,0.5,0.47,0.45,NULL,1.43,1.48,1.4,1.4,NULL,915,922,936,958,NULL,84.72,87.15,88.97,91.15,NULL,21.55,22.02,31.77,23.4,NULL,47.92,48.16,68.23,48.29,NULL,49.95,67.79,44.98,81.42,NULL,182,NULL,NULL,NULL,NULL,256,NULL,NULL,NULL,NULL,145,NULL,NULL,NULL,NULL,289,NULL,NULL,NULL,NULL,157,NULL,144,NULL,NULL,135,NULL,127,NULL,NULL,281,NULL,271,NULL,NULL,295,NULL,282,NULL,NULL,NULL,NULL,NULL,286,NULL,NULL,NULL,NULL,465,NULL,NULL,200,NULL,280,NULL,NULL,402,NULL,467,NULL,NULL,272,NULL,284,NULL,NULL,337,NULL,469,NULL
Atlantic,Somers Point,121,2,2,4.03,4.03,4.03,4.01,4.01,2600,2552,2525,2532,NULL,10795,10795,10795,10469,10469,10480,10285,10174,10153,NULL,-2.92,-4.72,-5.75,-3.02,NULL,7325,7225,7106,NULL,NULL,1833,2069,1902,NULL,NULL,25.02,28.64,26.77,NULL,NULL,1181,982,1056,NULL,NULL,11.1,9.6,10.23,NULL,NULL,1153,1153,1153,795,795,10.68,10.68,10.68,7.59,7.59,332,332,332,290,290,3.08,3.08,3.08,2.77,2.77,1024,1024,1024,1374,1374,9.49,9.49,9.49,13.12,13.12,644,644,644,NULL,NULL,5.97,5.97,5.97,NULL,NULL,1577,1577,1577,NULL,NULL,14.61,14.61,14.61,NULL,NULL,37,41,33,21,16,0.35,0.39,0.32,0.21,0.16,1378,1214,1085,934,1199,13.07,11.58,10.55,9.18,11.81,21,14,3,24,NULL,270,246,102,220,NULL,4924,4821,4877,4792,NULL,361,285,243,784,NULL,7.33,5.91,4.98,16.36,NULL,1012,1093,1156,NULL,NULL,203980,209907,211235,214986,NULL,1120420390,1134496218,1145401991,1159363087,NULL,27633.1,NULL,NULL,NULL,NULL,8587,NULL,NULL,NULL,NULL,1506,1533,1609,1635,NULL,15787833,15768294,16369182,16598582,0,8.83,NULL,NULL,NULL,NULL,0.55,0.54,0.53,0.52,NULL,0.96,0.98,0.98,0.99,NULL,1.56,1.59,1.6,1.64,NULL,7115,7267,7506,8157,NULL,67.89,70.66,73.78,80.34,NULL,28.6,28.94,48.59,31.19,NULL,30.19,30.69,51.41,31.85,NULL,40.14,55.88,32.04,71.4,NULL,1447,NULL,NULL,NULL,NULL,1253,NULL,NULL,NULL,NULL,1149,NULL,NULL,NULL,NULL,1584,NULL,NULL,NULL,NULL,1439,NULL,2213,NULL,NULL,1306,NULL,2072,NULL,NULL,1204,NULL,278,NULL,NULL,1263,NULL,263,NULL,NULL,NULL,NULL,NULL,2885,NULL,NULL,NULL,NULL,2714,NULL,NULL,1726,NULL,2817,NULL,NULL,2096,NULL,2642,NULL,NULL,2173,NULL,2780,NULL,NULL,1739,NULL,2777,NULL
